id,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w,center_x,center_y,center_z,size_x,size_y,size_z,state
26,102.720001220703,-52.8500175476074,0.103261716663837,0,0,0.707105462987833,0.707108099382805,-2.79998230934143,-7.25470733642578,1,2,1,2,4
29,102.719985961914,-126.820014953613,0.103261716663837,0,0,0.707105462987833,0.707108099382805,-2.49997735023499,-8.60360240936279,0.999998152256012,2,1,2,4
30,85.7299880981445,-119.75,0.104206539690495,0,0,-0.99999999999992,3.99474163587259E-07,-3.00000429153442,-7.48417472839356,0.999973714351654,2,1,2,4
33,85.7299880981445,-185.289993286133,0.104206539690495,0,0,-0.99999999999992,3.99474163587259E-07,-2.60000419616699,-7.53405809402466,1.0000011920929,2,1,2,4
35,85.6299362182617,-316.350067138672,0.103261716663837,0,0,-0.99999999999992,3.99474163587259E-07,-2.500004529953,-7.33618688583374,1,2,1,2,4
36,75.7100143432617,-333.339996337891,0.104206539690495,0,0,-0.7071055100664,0.70710805230441,-2.50225949287415,-9.14663219451904,1,2,1,2,4
39,324.970001220703,-333.339965820312,0.104206539690495,0,0,-0.7071055100664,0.70710805230441,-2.50002813339233,-7.97213983535767,1.00002372264862,2,1,2,4
40,168.869995117188,-53.0300369262695,0.103242188692093,0,0,0.707104474337184,0.707109088028386,-2.39999556541443,-8.20903873443604,1,2,1,2,4
41,151.309951782227,-45.3000755310059,0.103261716663837,0,0,-0.99999999999992,3.99474163587259E-07,-2.80000424385071,-7.75050830841064,1,2,1,2,4
46,348.429992675781,4.47996091842651,0.104206539690495,0,0,0.70710748736342,0.70710607500897,-2.4999406337738,-8.96163463592529,1,2,1,2,4
47,341.250030517578,-69.5099563598633,0.104206539690495,0,0,2.13052874507236E-06,0.99999999999773,-2.50003147125244,-7.3808388710022,1,2,1,2,4
50,341.250030517578,-143.559951782227,0.104206539690495,0,0,2.13052874507236E-06,0.99999999999773,-2.30003428459167,-8.05868148803711,1,2,1,2,4
53,341.250030517578,-209.099960327148,0.104206539690495,0,0,2.13052874507236E-06,0.99999999999773,-2.50151753425598,-7.81856346130371,1,2,1,2,4
55,160.679992675781,-12.5599994659424,0.103261716663837,0,0,-6.02138541804617E-07,0.999999999999819,-2.80003023147583,-7.38557434082031,1,2,1,2,4
56,167.75,4.42999029159546,0.104206539690495,0,0,0.70710748736342,0.70710607500897,-2.39993405342102,-7.29063844680786,1,2,1,2,4
59,102.110000610352,4.42999029159546,0.104206539690495,0,0,0.70710748736342,0.70710607500897,-2.59993410110474,-7.8189001083374,1,2,1,2,4
